,College,Term/Year Code,Total,Men,Women,Non-Binary,Caucasian,Asian American,African American,Hispanic,Native American,Unknown
0,KL ,2005,2729.0,1162.0,1563.0,4.0,2157.0,164.0,91.0,88.0,1.0,
3,KM ,2005,3760.0,2220.0,1534.0,6.0,2202.0,514.0,162.0,194.0,7.0,
6,KN ,2005,1515.0,290.0,1224.0,1.0,962.0,75.0,131.0,89.0,10.0,
9,KP ,2005,7439.0,6327.0,1106.0,6.0,4164.0,1146.0,128.0,244.0,14.0,
12,KR ,2005,2770.0,1279.0,1490.0,1.0,1987.0,219.0,87.0,124.0,8.0,
15,KS ,2005,4.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,
18,KT ,2005,673.0,213.0,460.0,0.0,460.0,51.0,55.0,54.0,2.0,
21,KU ,2005,668.0,397.0,270.0,1.0,366.0,121.0,39.0,49.0,4.0,
24,KV ,2005,17582.0,8511.0,9054.0,17.0,10797.0,2138.0,1383.0,1270.0,59.0,
29,KY ,2005,1872.0,660.0,1211.0,1.0,1355.0,82.0,234.0,117.0,8.0,
32,LC ,2005,473.0,116.0,357.0,0.0,327.0,17.0,6.0,10.0,1.0,
35,LE ,2005,262.0,237.0,25.0,0.0,223.0,9.0,6.0,13.0,0.0,
37,LG ,2005,282.0,102.0,180.0,0.0,164.0,20.0,30.0,10.0,2.0,
40,LL ,2005,289.0,19.0,270.0,0.0,207.0,5.0,43.0,15.0,1.0,
43,LN ,2005,86.0,29.0,57.0,0.0,57.0,7.0,7.0,7.0,1.0,
46,LP ,2005,247.0,68.0,179.0,0.0,179.0,14.0,10.0,7.0,0.0,
